id;nomes;valores;data;cpf;file
N0000017;Ademar;R$ 78.601,00;23/01/20;462.142.965-50;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000017.png
N0000018;Adhemar;R$ 43.231,00;13/06/21;067.135.042-05;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000018.png
N0000019;Adolfo;R$ 89.600,00;01/11/24;677.234.648-35;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000019.png
N0000020;Adolpho;R$ 32.840,00;02/03/23;369.022.211-70;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000020.png
N0000021;Adrian;R$ 59.498,00;10/12/22;741.512.515-02;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000021.png
N0000022;Adriana;R$ 91.566,00;10/07/22;810.799.339-05;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000022.png
N0000023;Adriane;R$ 57.456,00;12/06/20;484.912.785-16;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000023.png
N0000024;Adrianne;R$ 74.825,00;02/12/21;595.300.473-71;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000024.png
N0000025;Adriano;R$ 70.885,00;11/08/22;438.550.650-71;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000025.png
N0000026;Adriene;R$ 68.914,00;12/05/20;045.384.209-72;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000026.png
N0000027;Adrienne;R$ 27.487,00;29/04/20;215.661.957-30;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000027.png
N0000028;Afonso;R$ 88.735,00;26/01/20;669.554.016-02;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000028.png
N0000029;Ágata;R$ 57.973,00;17/12/22;668.095.085-62;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000029.png
N0000030;Agatha;R$ 74.078,00;15/06/22;952.493.778-66;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000030.png
N0000031;Agenor;R$ 76.929,00;09/03/22;055.028.813-93;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000031.png
N0000032;Agnaldo;R$ 82.366,00;24/03/20;192.246.388-48;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000032.png
N0000033;Agnes;R$ 51.295,00;04/02/22;966.956.896-01;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000033.png
N0000034;Agostinho;R$ 50.813,00;06/01/20;277.535.279-08;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000034.png
N0000035;Aguinaldo;R$ 1.271,00;25/05/23;220.428.166-20;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000035.png
N0000036;Aída;R$ 15.539,00;04/02/20;918.502.469-47;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000036.png
N0000037;Aiko;R$ 93.348,00;11/03/21;534.379.839-03;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000037.png
N0000038;Aílton;R$ 9.881,00;12/12/23;972.151.105-67;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000038.png
N0000039;Aimée;R$ 58.267,00;29/11/24;030.175.746-10;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000039.png
N0000040;Airton;R$ 49.078,00;24/08/24;033.090.119-25;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000040.png
N0000041;Ajit;R$ 36.456,00;25/08/21;865.394.504-00;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000041.png
N0000042;Akahana;R$ 38.105,00;13/11/20;545.675.024-42;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000042.png
N0000043;Akako;R$ 75.886,00;05/07/24;030.885.636-88;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000043.png
N0000044;Alaíde;R$ 61.352,00;15/12/20;232.986.002-10;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000044.png
N0000045;Alana;R$ 26.778,00;30/03/20;522.870.469-84;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000045.png
N0000046;Alane;R$ 4.526,00;01/03/23;398.815.898-43;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000046.png
N0000047;Alanna;R$ 42.914,00;15/04/20;429.409.962-37;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000047.png
N0000048;Alanne;R$ 14.000,00;19/05/22;619.070.209-00;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000048.png
N0000049;Alba;R$ 6.869,00;21/05/24;591.775.239-70;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000049.png
N0000050;Alberta;R$ 61.437,00;15/02/22;328.772.923-39;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000050.png
N0000051;Albertina;R$ 55.033,00;16/03/23;118.155.345-83;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000051.png
N0000052;Alberto;R$ 67.883,00;24/05/20;652.006.041-09;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000052.png
N0000053;Alceu;R$ 29.774,00;08/04/21;415.608.686-00;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000053.png
N0000054;Alcides;R$ 98.152,00;18/07/24;811.537.569-19;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000054.png
N0000055;Alcione;R$ 37.010,00;05/08/22;594.862.877-91;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000055.png
N0000056;Alcyone;R$ 73.100,00;11/12/21;531.707.208-56;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000056.png
N0000057;Alda;R$ 72.820,00;02/03/21;488.322.520-82;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000057.png
N0000058;Aldaberto;R$ 70.683,00;16/05/24;365.610.559-69;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000058.png
N0000059;Aldine;R$ 71.824,00;01/03/24;069.030.341-61;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000059.png
N0000060;Aldo;R$ 26.481,00;12/05/22;911.571.297-49;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000060.png
N0000061;Alec;R$ 675,00;30/06/21;453.067.088-03;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000061.png
N0000062;Alecsandra;R$ 58.272,00;13/10/23;370.815.222-03;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000062.png
N0000063;Alegra;R$ 21.508,00;26/06/23;491.022.579-04;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000063.png
N0000064;Alejandra;R$ 10.903,00;10/09/23;258.895.814-14;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000064.png
N0000065;Aleksandra;R$ 1.704,00;03/11/22;851.589.488-28;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000065.png
N0000066;Alessandra;R$ 1.279,00;23/03/24;632.597.939-76;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000066.png
N0000067;Alessandro;R$ 47.266,00;25/02/22;849.360.833-56;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000067.png
N0000068;Alex;R$ 77.021,00;08/09/20;911.883.567-80;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000068.png
N0000069;Alexandra;R$ 93.205,00;23/03/21;683.665.861-89;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000069.png
N0000070;Alexandre;R$ 33.075,00;10/10/23;988.476.457-35;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000070.png
N0000071;Aléxis;R$ 65.472,00;20/08/24;837.716.030-72;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000071.png
N0000072;Alfonso;R$ 1.720,00;23/09/20;838.587.775-44;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000072.png
N0000073;Alfredo;R$ 87.240,00;17/08/20;560.327.712-29;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000073.png
N0000074;Alice;R$ 92.991,00;06/06/24;142.541.180-07;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000074.png
N0000075;Alicia;R$ 59.848,00;09/07/22;566.577.781-12;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000075.png
N0000076;Alisha;R$ 83.134,00;05/12/22;562.823.972-00;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000076.png
N0000077;Allegra;R$ 44.598,00;25/01/24;609.679.627-30;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000077.png
N0000078;Aloísio;R$ 71.211,00;30/11/23;448.390.264-40;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000078.png
N0000079;Alonso;R$ 66.595,00;18/09/20;521.486.863-48;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000079.png
N0000080;Aluísio;R$ 34.120,00;12/01/21;150.482.574-80;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000080.png
N0000081;Álvaro;R$ 26.566,00;13/10/24;080.960.570-81;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000081.png
N0000082;Alzira;R$ 98.682,00;27/04/23;000.462.638-96;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000082.png
N0000083;Amadeu;R$ 51.556,00;28/09/21;537.881.913-09;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000083.png
N0000084;Amadeus;R$ 44.926,00;05/10/24;139.003.329-59;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000084.png
N0000085;Amália;R$ 59.513,00;13/07/21;720.367.995-07;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000085.png
N0000086;Amanda;R$ 99.882,00;07/06/21;212.182.520-73;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000086.png
N0000087;Amar;R$ 26.543,00;29/08/21;243.789.722-47;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000087.png
N0000088;Amauri;R$ 49.719,00;09/09/23;523.764.909-28;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000088.png
N0000089;Amaury;R$ 7.906,00;08/01/22;685.981.388-19;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000089.png
N0000090;Amedeo;R$ 53.231,00;08/03/23;674.846.658-00;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000090.png
N0000091;Amélia;R$ 91.093,00;12/03/21;188.274.563-92;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000091.png
N0000092;Amélie;R$ 13.561,00;04/04/21;705.576.215-42;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000092.png
N0000093;América;R$ 4.713,00;20/10/22;496.776.421-54;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000093.png
N0000094;Américo;R$ 13.797,00;20/06/24;732.787.975-74;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000094.png
N0000095;Amílcar;R$ 42.705,00;18/01/21;447.677.718-03;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000095.png
N0000096;Amisha;R$ 41.831,00;16/07/20;604.173.666-04;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000096.png
N0000097;Amita;R$ 78.179,00;22/06/20;652.593.244-04;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000097.png
N0000098;Amiti;R$ 71.280,00;25/07/22;458.674.661-08;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000098.png
N0000099;Amy;R$ 65.876,00;19/12/22;212.239.596-60;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000099.png
N0000100;Ana;R$ 93.732,00;06/12/21;160.560.645-65;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000100.png
N0000101;Anaís;R$ 75.924,00;29/11/21;467.681.521-22;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000101.png
N0000102;Anastácia;R$ 75.502,00;27/09/23;926.687.791-38;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000102.png
N0000103;Anastasia;R$ 66.604,00;06/11/22;510.109.121-94;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000103.png
N0000104;André;R$ 79.747,00;28/07/20;126.294.998-04;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000104.png
N0000105;Andréa;R$ 14.234,00;10/07/24;672.400.131-54;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000105.png
N0000106;Andréia;R$ 17.075,00;27/03/20;473.878.700-47;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000106.png
N0000107;Andresa;R$ 95.389,00;08/01/20;223.922.636-63;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000107.png
N0000108;Andressa;R$ 38.268,00;06/07/23;748.743.986-00;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000108.png
N0000109;Andreza;R$ 68.138,00;09/10/24;593.234.521-73;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000109.png
N0000110;Andrezza;R$ 49.186,00;08/03/21;837.162.277-57;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000110.png
N0000111;Anete;R$ 8.228,00;22/05/21;232.522.421-09;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000111.png
N0000112;Angel;R$ 96.685,00;27/04/24;141.076.228-94;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000112.png
N0000113;Ângela;R$ 85.130,00;17/08/22;757.791.368-58;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000113.png
N0000114;Angeli;R$ 44.664,00;24/01/20;080.928.541-06;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000114.png
N0000115;Angélica;R$ 1.774,00;28/02/23;515.803.863-50;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000115.png
N0000116;Angelina;R$ 69.827,00;21/05/24;521.269.332-29;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000116.png
N0000117;Angelita;R$ 11.319,00;01/06/21;541.283.316-00;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000117.png
N0000118;Ângelo;R$ 29.777,00;15/04/20;646.395.107-21;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000118.png
N0000119;Aníbal;R$ 25.447,00;13/01/24;385.948.052-92;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000119.png
N0000120;Anísio;R$ 60.636,00;26/11/20;663.741.685-18;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000120.png
N0000121;Anita;R$ 82.783,00;22/09/24;779.392.722-25;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000121.png
N0000122;Anna;R$ 7.341,00;10/05/23;131.163.877-61;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000122.png
N0000123;Anne;R$ 20.827,00;30/06/21;911.982.561-76;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000123.png
N0000124;Annete;R$ 86.112,00;18/08/21;737.150.707-06;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000124.png
N0000125;Anoush;R$ 34.012,00;08/12/21;906.132.841-19;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000125.png
N0000126;Anselmo;R$ 65.552,00;06/07/22;819.372.579-40;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000126.png
N0000127;Antenor;R$ 23.439,00;30/11/20;497.944.827-57;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000127.png
N0000128;Antonela;R$ 10.075,00;16/01/21;793.038.862-08;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000128.png
N0000129;Antonella;R$ 18.782,00;10/12/22;650.401.659-35;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000129.png
N0000130;Antônia;R$ 66.767,00;14/12/24;809.393.637-80;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000130.png
N0000131;Antonieta;R$ 45.026,00;06/12/23;891.878.841-00;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000131.png
N0000132;Antônio;R$ 33.339,00;06/08/20;166.338.350-27;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000132.png
N0000133;Aparecida;R$ 79.863,00;03/03/21;476.456.422-03;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000133.png
N0000134;Aquiles;R$ 34.185,00;05/02/23;642.938.896-47;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000134.png
N0000135;Araci;R$ 18.121,00;18/07/21;900.138.305-03;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000135.png
N0000136;Aracy;R$ 16.976,00;19/12/24;269.022.714-29;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000136.png
N0000137;Areta;R$ 78.915,00;10/10/24;916.346.622-88;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000137.png
N0000138;Aretha;R$ 69.987,00;31/12/22;686.435.815-18;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000138.png
N0000139;Ariana;R$ 19.421,00;20/03/22;724.856.804-00;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000139.png
N0000140;Ariane;R$ 56.201,00;14/08/21;918.198.241-01;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000140.png
N0000141;Ariela;R$ 44.399,00;30/12/23;441.292.234-02;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000141.png
N0000142;Ariella;R$ 93.818,00;09/11/21;262.719.672-30;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000142.png
N0000143;Arielle;R$ 97.763,00;13/09/21;483.794.458-21;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000143.png
N0000144;Arlene;R$ 92.641,00;13/11/22;064.248.584-40;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000144.png
N0000145;Arlete;R$ 79.332,00;08/09/20;527.823.946-81;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000145.png
N0000146;Armando;R$ 26.816,00;12/03/23;355.057.353-71;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000146.png
N0000147;Arnaldo;R$ 13.605,00;29/06/20;099.597.169-29;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000147.png
N0000148;Arthur;R$ 7.204,00;03/02/22;934.325.708-21;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000148.png
N0000149;Artur;R$ 25.113,00;04/01/23;023.348.819-70;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000149.png
N0000150;Asha;R$ 40.205,00;13/09/21;149.443.789-98;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000150.png
N0000151;Assunção;R$ 1.774,00;11/09/24;208.801.866-23;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000151.png
N0000152;Astrid;R$ 21.991,00;04/07/21;625.745.479-42;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000152.png
N0000153;Astride;R$ 11.761,00;21/04/23;260.588.988-20;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000153.png
N0000154;Ataúlfo;R$ 15.079,00;02/09/20;264.845.402-09;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000154.png
N0000155;Augusta;R$ 24.350,00;22/11/20;863.861.028-94;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000155.png
N0000156;Augustina;R$ 48.794,00;16/11/21;435.392.803-16;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000156.png
N0000157;Augustine;R$ 66.599,00;21/03/21;278.673.850-45;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000157.png
N0000158;Augusto;R$ 59.148,00;25/10/23;272.588.738-05;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000158.png
N0000159;Aurélia;R$ 67.402,00;12/05/22;238.857.071-95;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000159.png
N0000160;Aurélio;R$ 60.873,00;17/08/22;244.777.514-86;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000160.png
N0000161;Auro;R$ 65.672,00;25/03/22;184.145.730-29;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000161.png
N0000162;Aurora;R$ 10.932,00;24/07/23;489.008.317-04;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000162.png
N0000163;Auxiliadora;R$ 63.947,00;17/01/22;022.204.486-14;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000163.png
N0000164;Ayrton;R$ 8.293,00;15/11/20;548.509.982-32;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000164.png
N0000165;Ayumi;R$ 96.576,00;21/04/24;760.226.573-42;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000165.png
N0000166;Babette;R$ 92.692,00;06/07/20;228.727.509-67;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000166.png
N0000167;Balbina;R$ 95.387,00;19/12/22;627.986.362-05;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000167.png
N0000168;Balraj;R$ 981,00;01/11/20;747.683.817-31;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000168.png
N0000169;Baltazar;R$ 78.549,00;04/05/23;809.402.604-92;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000169.png
N0000170;Bárbara;R$ 23.725,00;29/05/20;806.352.013-05;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000170.png
N0000171;Barbie;R$ 64.572,00;30/11/20;018.119.954-89;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000171.png
N0000172;Barbra;R$ 45.676,00;20/07/21;437.652.552-97;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000172.png
N0000173;Bartolomeu;R$ 93.281,00;24/05/22;173.386.873-90;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000173.png
N0000174;Basílio;R$ 36.939,00;30/09/23;717.630.826-87;file:///media/felipe/novo volume/ubuntu/projects/gerador de assinaturas/assinaturas/N0000174.png
